key,state,year,confined_population,adult_male,pct_adult_male,adult_female,pct_adult_female,juvenile_male,pct_juvenile_male,juvenile_female,pct_juvenile_female,white_population,pct_white,black_population,pct_black,hispanic_population,pct_hispanic,native_american_population,pct_native_american,asian_population,pct_asian,native_hawaiian_pacific_islander_population,pct_native_hawaiian_pacific_islander,two_or_more_race_population,pct_two_or_more_races,other_population,pct_other
Michigan - 2012,Michigan,2012,10962,9328,0.8509396095602992,1447,0.1320014595876665,178,0.01623791278963693,9,0.0008210180623973727,4865,0.4438058748403576,4870,0.4442619959861339,426,0.03886152162014231,14,0.001277139208173691,35,0.0031928480204342275,1,9.122422915526363e-05,2,0.00018244845831052726,10,0.0009122422915526364
Michigan - 2013,Michigan,2013,8681,7322,0.8434512152977768,1273,0.14664209192489344,79,0.00910033406289598,7,0.000806358714433821,4044,0.4658449487386246,3349,0.38578504780555234,278,0.03202396037322889,15,0.0017279115309296164,22,0.0025342702453634374,1,0.00011519410206197443,0,0.0,0,0.0
Michigan - 2014,Michigan,2014,8105,6824,0.8419494139420111,1184,0.14608266502159162,88,0.010857495373226403,9,0.001110425663170882,4314,0.5322640345465762,3450,0.4256631708821715,257,0.031708821714990745,5,0.0006169031462060457,21,0.002590993214065392,1,0.00012338062924120913,22,0.0027143738433066007,5,0.0006169031462060457
Michigan - 2015,Michigan,2015,9420,7888,0.8373673036093419,1407,0.14936305732484076,115,0.012208067940552018,10,0.0010615711252653928,4289,0.455307855626327,4227,0.44872611464968154,346,0.03673036093418259,15,0.0015923566878980893,24,0.0025477707006369425,2,0.00021231422505307856,20,0.0021231422505307855,5,0.0005307855626326964
Michigan - 2016,Michigan,2016,9078,7570,0.8338841154439304,1401,0.1543291473892928,95,0.010464860101343908,12,0.0013218770654329147,4308,0.47455386649041637,3876,0.42696629213483145,304,0.03348755232430051,24,0.0026437541308658294,29,0.0031945362414628775,0,0.0,9,0.0009914077990746861,2,0.0002203128442388191
Michigan - 2017,Michigan,2017,10213,8608,0.8428473514148634,1495,0.14638206207774404,89,0.008714383628708508,21,0.00205620287868403,4677,0.45794575540977184,4696,0.4598061294428669,241,0.023597375893469108,27,0.0026436894154508958,20,0.0019582884558895525,0,0.0,0,0.0,0,0.0
Michigan - 2018,Michigan,2018,10413,8692,0.8347258234898685,1654,0.1588399116489004,61,0.005858062037837319,6,0.0005762028233938346,4627,0.4443484106405455,4261,0.40920003841352154,227,0.021799673485066742,48,0.004609622587150677,14,0.0013444732545856142,0,0.0,0,0.0,3,0.0002881014116969173
Minnesota - 2008,Minnesota,2008,4497,3974,0.8837002446075162,516,0.11474316210807205,6,0.00133422281521014,1,0.00022237046920169,1737,0.38625750500333556,1075,0.23904825439181676,385,0.08561263064265065,237,0.052701801200800535,95,0.021125194574160552,0,0.0,2,0.00044474093840338,140,0.0311318656882366
Minnesota - 2009,Minnesota,2009,4350,3858,0.886896551724138,482,0.11080459770114942,10,0.0022988505747126436,0,0.0,1720,0.3954022988505747,1074,0.24689655172413794,364,0.08367816091954022,226,0.051954022988505745,97,0.022298850574712644,0,0.0,2,0.0004597701149425287,143,0.03287356321839081
Minnesota - 2010,Minnesota,2010,4106,3619,0.8813930832927424,479,0.11665854846566001,8,0.001948368241597662,0,0.0,1343,0.3270823185582075,777,0.1892352654651729,244,0.05942523136872869,241,0.058694593278129564,68,0.016561130053580127,1,0.00024354603019970775,1,0.00024354603019970775,124,0.03019970774476376
